name,Maximum uncertainty,Average Uncertainty,Number of Joints,Camera Scale,Camera X translation,Camera Y translation,Global X rotation,Global Y rotation,Global Z rotation,R0X,R0Y,R0Z,R1X,R1Y,R1Z,R2X,R2Y,R2Z,R3X,R3Y,R3Z,R4X,R4Y,R4Z,R5X,R5Y,R5Z,R6X,R6Y,R6Z,R7X,R7Y,R7Z,R8X,R8Y,R8Z,R9X,R9Y,R9Z,R10X,R10Y,R10Z,R11X,R11Y,R11Z,R12X,R12Y,R12Z,R13X,R13Y,R13Z,R14X,R14Y,R14Z,R15X,R15Y,R15Z,R16X,R16Y,R16Z,R17X,R17Y,R17Z,R18X,R18Y,R18Z,R19X,R19Y,R19Z,R20X,R20Y,R20Z,R21X,R21Y,R21Z,R22X,R22Y,R22Z,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16
1000_F_175185560_08Dv3mkj91BHTON9DTN2ejRMrOliU4rL,1.0,0.30367745359918896,8,0.002948511391878128,-0.02240673080086708,2.5,-131.25041773258243,2.6664870689527604,174.95713974095253,-88.06831572417184,-3.249954271253807,13.519238457242713,-58.36059917449814,-4.451156161808678,-6.1764627999275445,30.20959543479165,2.1537656854142364,1.94144925506439,105.54231652689562,-5.564335696982302,-23.98217216657982,90.1349465519101,-0.8149757705275413,18.12544546273938,-1.744849089994743,-1.2203414679914215,-0.037866542078124246,-2.160205700027912,5.2774933650511535,5.729400878653999,0.03667465739269049,-6.23302359644442,0.3669809414629076,7.462052531451569,0.8465780953218384,0.8846940727068002,-27.061340972732044,7.914261427151542,-1.8422110887357477,-12.774851144322518,-2.101716655730977,-7.35170484899449,16.49473950594613,-2.2196225828349108,-4.762453986063057,5.059637651284427,4.563959297272377,-12.725930768165949,7.761470949192003,-2.8960601856840555,6.799410630065381,-3.8603943174740576,1.8744991004896903,6.777576649722966,6.018597918301509,0.08393323985305787,-64.50464803105892,8.73398487284333,-0.8642412313197557,68.32792155105443,-0.7169620223293295,3.4204381408148525,0.5290896117193422,-2.1379689519678777,11.344558305703073,-4.775451836053591,-3.3987439659070113,-5.504722659680077,41.715018355826864,-4.890776165094671,9.712205419546203,-49.15922445675084,2.909796336435186,1.3722636581527226,-3.3654495684675494,-5.5135754386180595,2.8137805252909085,14.086163795147634,0.4167795479297638,0.38339763879776,0.43493786454200745,0.9539117813110352,0.9764564633369446,0.9228161573410034,0.8813756108283997,0.9352684020996094,0.914961576461792,0.902457058429718,0.9343770742416382,0.7344946265220642,0.6927674412727356,0.38749656081199646,0.5846537947654724,0.1380312144756317,0.166415736079216
1488-human-pose-estimation-ai-fitness,0.5865304,0.21350173871742537,16,6.575137376785278e-06,-0.20526154339313507,2.5,-19.78052494958582,-16.322760465287086,-2.1197139907505496,-55.50771453554844,-14.35442972008364,35.74825047426835,-77.03378311999023,12.358988246517123,-25.005640155213086,61.8147829321245,-1.8109634001697623,3.6324277893015964,101.36864064210012,-18.514383754836587,-0.9224453286622541,124.75755794529826,9.380255664562645,3.642396877282053,-4.9378220812108955,2.160484243680002,-0.9550911782956821,-12.20635571668214,8.255382418643135,-3.0375052925453803,-9.282404666965748,-0.20917330269181078,21.35131990207431,2.4957101415876393,-1.0892315045613838,2.9012193263849424,-25.24034253056765,6.346245080994783,15.084066385717545,-21.527031641114764,5.34359636272536,-38.3862915128753,-10.188707590576618,-4.473881054950956,-9.591784061837,0.45080988085888396,2.8930339849949167,-12.250913309506364,-2.9622524027042956,3.3693325310107016,0.42370947782084517,-29.86639891956602,-6.58032249404029,6.266274237984512,-15.985868214665375,6.507922915724978,-49.33477056370392,-18.82833169248893,-4.211061778991213,41.99074284733653,46.485608377851875,-71.1564189995726,92.08403665422163,112.12560801879076,56.62145201179989,-147.9031702498822,-6.426912176413572,-3.5114284268338816,3.2143578866206397,-3.7101357052624775,7.512753025660574,-22.803503496983645,-10.700341693376641,-4.510885312326793,-15.737587423240827,-2.920892405628695,4.516193223085539,16.28053965093265,0.9494528770446777,0.9592322707176208,0.9706868529319763,0.9667829275131226,0.8826495409011841,0.8778362274169922,0.8765963315963745,0.9041180610656738,0.5683139562606812,0.9319208264350891,0.8016389012336731,0.8305229544639587,0.8375084400177002,0.906170129776001,0.8771287202835083,0.8605011701583862,0.8882087469100952
1577720851-C2505M-S_1,0.5597035,0.2115509524430501,17,-0.004917379468679428,-0.3249328136444092,2.5,-0.1543282843789968,-18.52108417041237,-0.5428343002069351,-8.69206629435967,-3.946359505254661,-0.7110424894747498,-5.5228726067389164,0.7045987396013718,5.384726908133531,8.830036969367573,2.226187461844351,-0.40327699359917846,16.95336280305039,-3.2092977836627177,0.24366446399969258,11.630081557350763,1.1553779379698434,2.8553407322865554,2.8845651907543357,1.4857036020348198,0.261113489575386,2.18584345540779,4.728098561424716,-3.3314456851280525,0.4445180493336857,-9.953008007603234,7.3351331025207465,1.4632495685818145,1.0098803944965855,0.4411792607683131,-9.030979427202055,4.083735953804774,6.90769602227994,-1.3628177199740066,7.911525082615306,-13.6926765970632,-5.029234344854585,20.928877824550895,2.2708675711868125,0.9739118712753579,-0.6841894940311389,-16.38640075287868,2.4494287797716328,5.81557310654382,16.98054012575787,3.8326987541633017,13.39034851873634,0.8172427530017509,4.542802786318263,-15.737017102445131,-55.33828827809169,0.22206821959711884,12.827342855641358,51.93797080735464,32.23388591986501,-59.82426773249685,26.56384877660853,27.749544003313357,62.175847222218884,-31.760779206625738,0.8739171014135779,-8.502732596793269,16.759655223094242,2.611603083877123,9.233449286089682,-12.3919174422794,-11.81104741941025,-2.0647290469412427,-12.7843647440627,-7.574841152763282,5.466210638044959,14.596054492162011,0.9678584933280945,0.9801267385482788,0.9572048783302307,0.9769005179405212,0.9868440628051758,0.9431226849555969,0.9468855857849121,0.9625115394592285,0.9555457830429077,0.9352625012397766,0.9618049263954163,0.8976978063583374,0.8924838304519653,0.9681066870689392,0.9256526827812195,0.9223175048828125,0.9159277677536011
0345163e7e600ceae679ebdaf6483463,0.7160526,0.24568358864979914,16,0.00012021884322166443,-0.2230708748102188,2.5,36.53958253112769,-7.48596587750943,1.3107540694170554,-28.377378406915515,1.7653786109273915,7.319654186314205,-37.392560460340974,5.0182125539683,-12.841967144428002,35.807533101169476,-0.2532832913417746,2.01151867165567,50.269666366727755,-8.139786589582547,-11.469254508059057,55.81273370840828,3.510785748721666,-2.5470452030592203,-4.280897475046832,-5.089824099208121,-0.5011207874809334,-15.51451344494821,7.156594518937552,3.197973116575425,-19.413154687340224,-11.582919101131825,11.035351373108366,-2.4620612146415715,-0.7630281264647747,1.694966724382259,-2.07599288265624,2.792599681787876,-3.972234396264785,-1.3488446470360413,-1.6082221479843335,-12.92088315009833,-20.523815163370582,5.3826437004366765,-14.933054318263148,-1.871202680441513,-21.93004353799678,-11.807838938047638,-1.6986900312535622,25.75027762381163,11.23611112338255,-23.02032955973299,-2.5255134585875783,-1.9011001259859512,16.23671715721785,-8.414559977250283,-31.022073757321348,14.645049146625805,14.526410468289976,45.55985819812669,82.3772928246905,-49.53580693663949,69.48706612490813,102.68761164253212,61.898965013644904,-89.19054995575078,32.70410687817996,-14.444443075607946,66.38450050575402,11.46099937067345,21.35540264765068,-46.966515167123305,-7.789753054997734,-0.07806055115720967,-10.332603454689508,-5.709157478614551,3.7344161739882265,15.374919746238783,0.951391875743866,0.9792302250862122,0.9709594249725342,0.871212363243103,0.9206255078315735,0.77222740650177,0.6126657128334045,0.9443861246109009,0.8019809126853943,0.9668669104576111,0.8968260288238525,0.8472778797149658,0.835292398929596,0.927644670009613,0.8613991141319275,0.9802873730659485,0.9618874192237854
0712-21_HUMANMADE_PC_76f68319-3bf3-4835-b8ba-f881bab4b60b_1500x,1.0,0.26741981964966577,13,0.015046540647745132,0.15170232951641083,2.5,5.594872192100959,-1.1162443691202555,-0.977468265398819,-14.493543598003875,-3.8154824085866386,-3.0913950582099576,-12.446161950893995,-0.4929843779930086,-2.5146092750210642,18.18367282541374,2.2904036197603417,-0.8253840716881417,17.493156068251082,0.8227015148916191,-2.745734979128068,45.45244664323907,-0.4208522976332378,2.662714456653386,-1.9054287583724467,0.6311495533096991,-1.6099314028241292,-1.6973997658306643,4.335856165316516,0.15738184584545528,-4.615479414181784,-8.03361300648199,3.6157066324397586,-2.0100954309873686,0.771291694865138,-0.636188525369876,-6.48357841397576,3.936749855979276,1.9201561403268752,-5.647572224189485,4.112153809620258,-8.410990349635304,-15.812936362617116,6.3405418730378225,-1.9427113459569614,1.2840708682073427,-6.065614379226939,-23.721064279893987,1.0395349414386654,12.206945674271699,22.24124744715007,-6.4516891145146165,0.08173476604385341,-3.268210086244782,-3.3344575851086167,-12.606276952964727,-62.11516099144332,-2.4757036637350254,15.789551502446285,63.06750109760737,7.402488159247181,-18.672437747325265,9.61062940753071,3.279447241533334,17.945572430947095,-7.886527444026705,4.3495118479014865,0.896113988916503,15.869570583667569,-0.276358925370104,4.551702095919966,-13.68897292698576,-8.76686113463954,-2.625764200460675,-11.074256984394404,-6.297147119919793,5.995543041644955,12.940268080736473,0.9486563205718994,0.970490038394928,0.9494102597236633,0.9588673114776611,0.9763891696929932,0.8859756588935852,0.8520575165748596,0.9556591510772705,0.9239320158958435,0.9087873697280884,0.930105447769165,0.8116375207901001,0.82982337474823,0.04453467205166817,0.029555806890130043,0.08708026260137558,0.10053019225597382
1,0.89972836,0.2404169296885669,15,-0.025082994252443314,-0.04374204948544502,2.5,5.509478178889698,-18.09616785686212,-2.0456802896763118,7.119995804043684,2.5289575814765572,3.751191118589778,2.003548908111323,-2.8393625719403683,-1.2631843631688553,3.9409931110011467,1.4434777717602143,1.2209255558871634,8.851899551127138,-5.519868177277757,-0.7296930146945573,8.196066494569806,0.7104221695598951,4.497545099104112,5.975867827967087,-1.569410024912559,4.281916027006809,-1.11015674957907,8.606353396691533,-1.8601832374327552,-5.298579439679452,-8.20165273553723,1.2210557563682167,-2.0164558312085314,-0.253452071719468,0.9718425374002557,-9.334762335822129,5.048602626906625,2.2845473728772903,3.355839705748753,2.564942433118769,-2.6429888703303894,-2.7230534149983368,10.363411876714498,-2.6987153165514655,2.0659382038677463,-7.657828804952583,-25.132504088856905,0.4353461724954164,9.632228173233585,28.613149706875184,6.907982036451434,4.542903104721697,-6.599460257207843,2.455571681156413,-18.77628394346614,-53.9082788923228,2.8152357824709444,13.852216155696357,48.653216722279616,22.681386544812984,-32.35278243784201,8.796390603742443,-1.0705781512163732,15.04413709982965,-7.562415331115736,6.4588877070129875,-5.135129170859639,-1.3813316947712666,3.083672248692789,1.5948773457283036,2.6016788190130944,-11.633846699130732,-2.989133252513115,-11.810978263744904,-7.665068805472797,6.097960020702003,15.832813920649144,0.9647080898284912,0.9710555076599121,0.9659308195114136,0.9583675265312195,0.9757123589515686,0.8707146644592285,0.9206867814064026,0.937717854976654,0.948154866695404,0.9468397498130798,0.9244229793548584,0.7827991247177124,0.8282150626182556,0.8934707641601562,0.8661382794380188,0.311504065990448,0.24907955527305603
0345163e7e600ceae679ebdaf6483463,0.7160526,0.24568358864979914,16,0.00012021884322166443,-0.2230708748102188,2.5,36.53958253112769,-7.48596587750943,1.3107540694170554,-28.377378406915515,1.7653786109273915,7.319654186314205,-37.392560460340974,5.0182125539683,-12.841967144428002,35.807533101169476,-0.2532832913417746,2.01151867165567,50.269666366727755,-8.139786589582547,-11.469254508059057,55.81273370840828,3.510785748721666,-2.5470452030592203,-4.280897475046832,-5.089824099208121,-0.5011207874809334,-15.51451344494821,7.156594518937552,3.197973116575425,-19.413154687340224,-11.582919101131825,11.035351373108366,-2.4620612146415715,-0.7630281264647747,1.694966724382259,-2.07599288265624,2.792599681787876,-3.972234396264785,-1.3488446470360413,-1.6082221479843335,-12.92088315009833,-20.523815163370582,5.3826437004366765,-14.933054318263148,-1.871202680441513,-21.93004353799678,-11.807838938047638,-1.6986900312535622,25.75027762381163,11.23611112338255,-23.02032955973299,-2.5255134585875783,-1.9011001259859512,16.23671715721785,-8.414559977250283,-31.022073757321348,14.645049146625805,14.526410468289976,45.55985819812669,82.3772928246905,-49.53580693663949,69.48706612490813,102.68761164253212,61.898965013644904,-89.19054995575078,32.70410687817996,-14.444443075607946,66.38450050575402,11.46099937067345,21.35540264765068,-46.966515167123305,-7.789753054997734,-0.07806055115720967,-10.332603454689508,-5.709157478614551,3.7344161739882265,15.374919746238783,0.951391875743866,0.9792302250862122,0.9709594249725342,0.871212363243103,0.9206255078315735,0.77222740650177,0.6126657128334045,0.9443861246109009,0.8019809126853943,0.9668669104576111,0.8968260288238525,0.8472778797149658,0.835292398929596,0.927644670009613,0.8613991141319275,0.9802873730659485,0.9618874192237854
0712-21_HUMANMADE_PC_76f68319-3bf3-4835-b8ba-f881bab4b60b_1500x,1.0,0.26741981964966577,13,0.015046540647745132,0.15170232951641083,2.5,5.594872192100959,-1.1162443691202555,-0.977468265398819,-14.493543598003875,-3.8154824085866386,-3.0913950582099576,-12.446161950893995,-0.4929843779930086,-2.5146092750210642,18.18367282541374,2.2904036197603417,-0.8253840716881417,17.493156068251082,0.8227015148916191,-2.745734979128068,45.45244664323907,-0.4208522976332378,2.662714456653386,-1.9054287583724467,0.6311495533096991,-1.6099314028241292,-1.6973997658306643,4.335856165316516,0.15738184584545528,-4.615479414181784,-8.03361300648199,3.6157066324397586,-2.0100954309873686,0.771291694865138,-0.636188525369876,-6.48357841397576,3.936749855979276,1.9201561403268752,-5.647572224189485,4.112153809620258,-8.410990349635304,-15.812936362617116,6.3405418730378225,-1.9427113459569614,1.2840708682073427,-6.065614379226939,-23.721064279893987,1.0395349414386654,12.206945674271699,22.24124744715007,-6.4516891145146165,0.08173476604385341,-3.268210086244782,-3.3344575851086167,-12.606276952964727,-62.11516099144332,-2.4757036637350254,15.789551502446285,63.06750109760737,7.402488159247181,-18.672437747325265,9.61062940753071,3.279447241533334,17.945572430947095,-7.886527444026705,4.3495118479014865,0.896113988916503,15.869570583667569,-0.276358925370104,4.551702095919966,-13.68897292698576,-8.76686113463954,-2.625764200460675,-11.074256984394404,-6.297147119919793,5.995543041644955,12.940268080736473,0.9486563205718994,0.970490038394928,0.9494102597236633,0.9588673114776611,0.9763891696929932,0.8859756588935852,0.8520575165748596,0.9556591510772705,0.9239320158958435,0.9087873697280884,0.930105447769165,0.8116375207901001,0.82982337474823,0.04453467205166817,0.029555806890130043,0.08708026260137558,0.10053019225597382
1,0.89972836,0.2404169296885669,15,-0.025082994252443314,-0.04374204948544502,2.5,5.509478178889698,-18.09616785686212,-2.0456802896763118,7.119995804043684,2.5289575814765572,3.751191118589778,2.003548908111323,-2.8393625719403683,-1.2631843631688553,3.9409931110011467,1.4434777717602143,1.2209255558871634,8.851899551127138,-5.519868177277757,-0.7296930146945573,8.196066494569806,0.7104221695598951,4.497545099104112,5.975867827967087,-1.569410024912559,4.281916027006809,-1.11015674957907,8.606353396691533,-1.8601832374327552,-5.298579439679452,-8.20165273553723,1.2210557563682167,-2.0164558312085314,-0.253452071719468,0.9718425374002557,-9.334762335822129,5.048602626906625,2.2845473728772903,3.355839705748753,2.564942433118769,-2.6429888703303894,-2.7230534149983368,10.363411876714498,-2.6987153165514655,2.0659382038677463,-7.657828804952583,-25.132504088856905,0.4353461724954164,9.632228173233585,28.613149706875184,6.907982036451434,4.542903104721697,-6.599460257207843,2.455571681156413,-18.77628394346614,-53.9082788923228,2.8152357824709444,13.852216155696357,48.653216722279616,22.681386544812984,-32.35278243784201,8.796390603742443,-1.0705781512163732,15.04413709982965,-7.562415331115736,6.4588877070129875,-5.135129170859639,-1.3813316947712666,3.083672248692789,1.5948773457283036,2.6016788190130944,-11.633846699130732,-2.989133252513115,-11.810978263744904,-7.665068805472797,6.097960020702003,15.832813920649144,0.9647080898284912,0.9710555076599121,0.9659308195114136,0.9583675265312195,0.9757123589515686,0.8707146644592285,0.9206867814064026,0.937717854976654,0.948154866695404,0.9468397498130798,0.9244229793548584,0.7827991247177124,0.8282150626182556,0.8934707641601562,0.8661382794380188,0.311504065990448,0.24907955527305603
1000_F_128407166_RV0QXZdgR6xNhO8fOIN8NVaITloYGYNX,0.9391966,0.3052685733948103,11,0.01610647514462471,0.041885845363140106,2.5,13.006535429837582,7.155073521186754,1.773426814925488,-9.684721592099718,1.4280332199429344,4.423683433419594,10.299296037201941,-8.786900909664357,-2.1409313330769595,3.0481076671279443,5.7319485392144145,-0.9753865518058461,13.321791348715983,-5.209851440379579,-2.5149806665571837,4.7437845177404725,4.03849961093178,0.9351008154206415,-2.0978080799784378,-1.205517396171555,3.7080653041703173,3.062668349777942,14.221292257687166,-5.370238796243465,-6.1866333784885175,-11.530199432249436,3.964395900418549,-1.5081511254637725,2.5013745028436953,1.9839729456198316,-23.762928216864285,-0.6357937084193376,10.043964783006647,1.5322242339151884,10.278189045119309,-5.382296214562652,4.7685469416895305,10.904975014683869,-13.70963851809328,-14.708554537981291,-11.805508989767016,10.550889470373946,-0.9283301769624548,14.73646781357184,23.16114586230385,4.595448603780252,-12.284176330764327,-1.8249646476380539,-31.014526398288485,-40.287355140037874,1.2645965047797556,4.307461788276303,18.232643574215437,53.48873110746018,126.63080562706597,-65.5085014239432,160.2945131024977,10.534092327657591,21.7721944511832,-7.834002435535661,10.733580808972508,-10.816859597975181,7.904168115105556,3.898494393324858,3.2530003221802213,-15.68526134400936,-3.858944182935899,-4.686768232983322,-13.66720511410093,-4.591487094061645,14.760132711498642,13.366028776422864,0.9752851724624634,0.9606595039367676,0.9768925905227661,0.9296708106994629,0.9625346660614014,0.8351531028747559,0.8394395112991333,0.8900172710418701,0.9168809056282043,0.7252328991889954,0.9214873909950256,0.7901025414466858,0.7395160794258118,0.6297240853309631,0.1440679132938385,0.04818354547023773,0.1489633321762085
